"","status","country","project_name","unit_name","capacity_(mw)","technology","start_year","operator","owner","lat","lng","location_accuracy","major_area_(prefecture,_district)","state/province","subregion","region","gem_location_id","gem_unit_id","other_ids_(location)","other_ids_(unit/phase)","url"
"147","operating","United States","Galena 3 geothermal power plant","2","15.0","binary cycle","2008.0","","Ormat Technology INC [100%]","39.3887","-119.7489","exact","","Nevada","Northern America","Americas","L100000700270","G100000700491","EIA: 56541","","https://gem.wiki/Galena_3_geothermal_power_plant"
"148","announced","United States","GeoZone (Chevron New Energies) geothermal power plant","--","20.0","unknown type","","","Chevron New Energies [100%]","38.2877","-122.4595","approximate","","California","Northern America","Americas","L100000700271","G100000700492","","","https://gem.wiki/GeoZone_(Chevron_New_Energies)_geothermal_power_plant"
"149","announced","United States","GeoZone (Cyrq Energy) geothermal power plant","--","20.0","unknown type","","","Cyrq Energy [100%]","38.2877","-122.4595","approximate","","California","Northern America","Americas","L100000700272","G100000700493","","","https://gem.wiki/GeoZone_(Cyrq_Energy)_geothermal_power_plant"
"150","announced","United States","GeoZone (Eavor) geothermal power plant","--","20.0","unknown type","","","Eavor Technologies INC [100%]","38.2877","-122.4595","approximate","","California","Northern America","Americas","L100000700273","G100000700494","","","https://gem.wiki/GeoZone_(Eavor)_geothermal_power_plant"
"151","pre-construction","Türkiye","Germencik geothermal power plant","--","170.0","unknown type","","Gurmat Electric Generation","Gurmat Electric Generation [100%]","37.8373","27.8503","approximate","","Aydın","Western Asia","Asia","L100000700245","G100000700440","","","https://gem.wiki/Germencik_geothermal_power_plant"
"152","operating","United States","Grant geothermal plant","20","118.0","dry steam","1985.0","Geysers Power Co LLC","Calpine CORP [100%]","38.777","-122.745","exact","","California","Northern America","Americas","L100000700056","G100000700085","WEPP (S&P Global Platts): 29381, EIA: 286, World Resources Institute: USA0000286","WEPP (S&P Global Platts): 7530","https://gem.wiki/Grant_geothermal_plant"
"153","operating","Türkiye","Greeneco Sarayköy geothermal plant","1.1","13.0","unknown type","2016.0","","Greeneco Enerji Elektrik Üretim AS [100%]","37.9346","28.7969","exact","","","Western Asia","Asia","L100000700057","G100000700441","WEPP (S&P Global Platts): 1130312","","https://gem.wiki/Greeneco_Sarayköy_geothermal_plant"
"154","operating","Türkiye","Greeneco Sarayköy geothermal plant","1.2","13.0","unknown type","2016.0","","Greeneco Enerji Elektrik Üretim AS [100%]","37.9346","28.7969","exact","","","Western Asia","Asia","L100000700057","G100000700442","WEPP (S&P Global Platts): 1130312","","https://gem.wiki/Greeneco_Sarayköy_geothermal_plant"
"155","operating","Türkiye","Greeneco Sarayköy geothermal plant","1.3","13.0","unknown type","2016.0","","Greeneco Enerji Elektrik Üretim AS [100%]","37.9346","28.7969","exact","","","Western Asia","Asia","L100000700057","G100000700443","WEPP (S&P Global Platts): 1130312","","https://gem.wiki/Greeneco_Sarayköy_geothermal_plant"
"156","operating","Türkiye","Greeneco Sarayköy geothermal plant","2.1","13.0","unknown type","","","Greeneco Enerji Elektrik Üretim AS [100%]","37.9346","28.7969","exact","","","Western Asia","Asia","L100000700057","G100000700444","WEPP (S&P Global Platts): 1130312","","https://gem.wiki/Greeneco_Sarayköy_geothermal_plant"
"157","operating","Türkiye","Greeneco Sarayköy geothermal plant","2.2","13.0","unknown type","","","Greeneco Enerji Elektrik Üretim AS [100%]","37.9346","28.7969","exact","","","Western Asia","Asia","L100000700057","G100000700445","WEPP (S&P Global Platts): 1130312","","https://gem.wiki/Greeneco_Sarayköy_geothermal_plant"
"158","operating","Türkiye","Greeneco Sarayköy geothermal plant","2.3","23.0","unknown type","","","Greeneco Enerji Elektrik Üretim AS [100%]","37.9346","28.7969","exact","","","Western Asia","Asia","L100000700057","G100000700446","WEPP (S&P Global Platts): 1130312","","https://gem.wiki/Greeneco_Sarayköy_geothermal_plant"
"159","operating","Türkiye","Greeneco Sarayköy geothermal plant","3","26.0","unknown type","2020.0","","Greeneco Enerji Elektrik Üretim AS [100%]","37.9346","28.7969","exact","","","Western Asia","Asia","L100000700057","G100000700447","WEPP (S&P Global Platts): 1130312","","https://gem.wiki/Greeneco_Sarayköy_geothermal_plant"
"160","pre-construction","Türkiye","Greeneco Sarayköy geothermal plant","7","49.0","unknown type","","","Greeneco Enerji Elektrik Üretim AS [100%]","37.9346","28.7969","approximate","","Denizli","Western Asia","Asia","L100000700057","G100000700086","WEPP (S&P Global Platts): 1130312","WEPP (S&P Global Platts): 1312914","https://gem.wiki/Greeneco_Sarayköy_geothermal_plant"
"161","announced","Indonesia","Guci geothermal power plant","--","55.0","unknown type","2024.0","","","-7.0446","110.4037","approximate","Semarang","Central Java","South-eastern Asia","Asia","L100000700201","G100000700345","","","https://gem.wiki/Guci_geothermal_power_plant"
"162","shelved","Indonesia","Gunung Geureudong geothermal power plant","Future units","220.0","unknown type","","Hitay Energy Holdings","Hitay Energy Holdings [100%]","4.8106","96.8171","approximate","","Aceh","South-eastern Asia","Asia","L100000700202","G100000700346","WEPP (S&P Global Platts): 1123256","WEPP (S&P Global Platts): 1291638","https://gem.wiki/Gunung_Geureudong_geothermal_power_plant"
"163","operating","Indonesia","Gunung Salak geothermal power plant","1","55.0","flash steam - single","1994.0","Kamojang POMU","AC Energy and Infrastructure Corp [19%]; Star Energy Geothermal; Electricity Generating Public CO LTD (EGCO); Star Energy Group PLC","-6.7416","106.648","exact","Bogor Regency","West Java","South-eastern Asia","Asia","L100000700058","G100000700087","WEPP (S&P Global Platts): 1135342, WEPP (S&P Global Platts): 1032539, World Resources Institute: WRI1000759","","https://gem.wiki/Gunung_Salak_geothermal_power_plant"
"164","operating","Indonesia","Gunung Salak geothermal power plant","2","55.0","flash steam - single","1994.0","Kamojang POMU","AC Energy and Infrastructure Corp [19%]; Star Energy Geothermal; Electricity Generating Public CO LTD (EGCO); Star Energy Group PLC","-6.7416","106.648","exact","Bogor Regency","West Java","South-eastern Asia","Asia","L100000700058","G100000700088","WEPP (S&P Global Platts): 1135342, WEPP (S&P Global Platts): 1032539, World Resources Institute: WRI1000759","","https://gem.wiki/Gunung_Salak_geothermal_power_plant"
"165","operating","Indonesia","Gunung Salak geothermal power plant","3","55.0","flash steam - single","","Kamojang POMU","AC Energy and Infrastructure Corp [19%]; Star Energy Geothermal; Electricity Generating Public CO LTD (EGCO); Star Energy Group PLC","-6.7416","106.648","exact","Bogor Regency","West Java","South-eastern Asia","Asia","L100000700058","G100000700089","WEPP (S&P Global Platts): 1135342, WEPP (S&P Global Platts): 1032539, World Resources Institute: WRI1000759","","https://gem.wiki/Gunung_Salak_geothermal_power_plant"
"166","construction","Indonesia","Gunung Salak geothermal power plant","7","55.0","binary cycle","","Star Energy Geothermal","AC Energy and Infrastructure Corp [19%]; Star Energy Geothermal; Electricity Generating Public CO LTD (EGCO); Star Energy Group PLC","-6.741","106.673","exact","","West Java","South-eastern Asia","Asia","L100000700058","G100000700347","WEPP (S&P Global Platts): 1135342, WEPP (S&P Global Platts): 1032539, World Resources Institute: WRI1000759","WEPP (S&P Global Platts): 1308382","https://gem.wiki/Gunung_Salak_geothermal_power_plant"
"167","operating","Indonesia","Gunung Salak geothermal power plant","Dayabumi Salak Pratama - 4","55.0","flash steam - single","1997.0","Kamojang POMU","AC Energy and Infrastructure Corp [19%]; Star Energy Geothermal; Electricity Generating Public CO LTD (EGCO); Star Energy Group PLC","-6.7416","106.648","exact","Bogor Regency","West Java","South-eastern Asia","Asia","L100000700058","G100000700090","WEPP (S&P Global Platts): 1135342, WEPP (S&P Global Platts): 1032539, World Resources Institute: WRI1000759","WEPP (S&P Global Platts): 1111714","https://gem.wiki/Gunung_Salak_geothermal_power_plant"
"168","operating","Indonesia","Gunung Salak geothermal power plant","Dayabumi Salak Pratama - 5","55.0","flash steam - single","1997.0","Kamojang POMU","AC Energy and Infrastructure Corp [19%]; Star Energy Geothermal; Electricity Generating Public CO LTD (EGCO); Star Energy Group PLC","-6.7416","106.648","exact","Bogor Regency","West Java","South-eastern Asia","Asia","L100000700058","G100000700091","WEPP (S&P Global Platts): 1135342, WEPP (S&P Global Platts): 1032539, World Resources Institute: WRI1000759","WEPP (S&P Global Platts): 1111715","https://gem.wiki/Gunung_Salak_geothermal_power_plant"
"169","operating","Indonesia","Gunung Salak geothermal power plant","Dayabumi Salak Pratama - 6","55.0","flash steam - single","1997.0","Kamojang POMU","AC Energy and Infrastructure Corp [19%]; Star Energy Geothermal; Electricity Generating Public CO LTD (EGCO); Star Energy Group PLC","-6.7416","106.648","exact","Bogor Regency","West Java","South-eastern Asia","Asia","L100000700058","G100000700092","WEPP (S&P Global Platts): 1135342, WEPP (S&P Global Platts): 1032539, World Resources Institute: WRI1000759","WEPP (S&P Global Platts): 1111716","https://gem.wiki/Gunung_Salak_geothermal_power_plant"
"170","announced","Indonesia","Gunung Sirung geothermal power plant","--","5.0","unknown type","","","PT PLN (Persero) [100%]","-8.5169","124.1334","approximate","Pantor Island Alor","East Nusa Tenggara","South-eastern Asia","Asia","L100000700203","G100000700348","","","https://gem.wiki/Gunung_Sirung_geothermal_power_plant"
"171","announced","Indonesia","Gunung Tamponas geothermal power plant","--","55.0","unknown type","2025.0","PT Wika Jabar Power","PT Resources Jaya Teknik Management [33%]; PT Jasa Sarana [33%]; PT Wijaya Karya [33%]","-6.8426","107.9143","approximate","Sumedang Regency","West Java","South-eastern Asia","Asia","L100000700059","G100000700093","","","https://gem.wiki/Gunung_Tamponas_geothermal_power_plant"
"172","operating","Japan","Hatchobara geothermal power plant","1","55.0","flash steam - double","1977.0","Kyushu Electric Power","Kyushu Electric Power [100%]","33.1053","131.1874","exact","","","Eastern Asia","Asia","L100000700060","G100000700094","WEPP (S&P Global Platts): 1021603, World Resources Institute: WRI1020116","WEPP (S&P Global Platts): 1118798","https://gem.wiki/Hatchobara_geothermal_power_plant"
"173","operating","Japan","Hatchobara geothermal power plant","2","55.0","flash steam - double","1990.0","Kyushu Electric Power","Kyushu Electric Power [100%]","33.1053","131.1874","exact","","","Eastern Asia","Asia","L100000700060","G100000700095","WEPP (S&P Global Platts): 1021603, World Resources Institute: WRI1020116","WEPP (S&P Global Platts): 1118799","https://gem.wiki/Hatchobara_geothermal_power_plant"
"174","cancelled","United States","Hawthorne Army Depot geothermal plant","--","30.0","unknown type","","","","38.4815","-118.4983","approximate","","Nevada","Northern America","Americas","L100000700061","G100000700096","WEPP (S&P Global Platts): 59454","WEPP (S&P Global Platts): 39310","https://gem.wiki/Hawthorne_Army_Depot_geothermal_plant"
"175","operating","United States","Heber 1 Geothermal","--","52.0","binary cycle","1985.0","ORCAL Geothermal INC","Ormat Technology INC [100%]","32.7146","-115.518","exact","","California","Northern America","Americas","L100000700062","G100000700097","WEPP (S&P Global Platts): 28740, EIA: 54689, World Resources Institute: USA0054689","WEPP (S&P Global Platts): 8871","https://gem.wiki/Heber_1_Geothermal"
"176","operating","Iceland","Hellisheiðarvirkjun geothermal power plant","1","45.0","flash steam - single","2006.0","Orkuveita Reykjavikur","Orkuveita Reykjavikur [100%]","64.0373","-21.4007","exact","Southern Region","","Northern Europe","Europe","L100000700065","G100000700101","WEPP (S&P Global Platts): 1060107, World Resources Institute: WRI1002796","WEPP (S&P Global Platts): 1188825","https://gem.wiki/Hellisheiðarvirkjun_geothermal_power_plant"
"177","operating","Iceland","Hellisheiðarvirkjun geothermal power plant","2","45.0","flash steam - single","2006.0","Orkuveita Reykjavikur","Orkuveita Reykjavikur [100%]","64.0373","-21.4007","exact","Southern Region","","Northern Europe","Europe","L100000700065","G100000700102","WEPP (S&P Global Platts): 1060107, World Resources Institute: WRI1002796","WEPP (S&P Global Platts): 1190819","https://gem.wiki/Hellisheiðarvirkjun_geothermal_power_plant"
"178","operating","Iceland","Hellisheiðarvirkjun geothermal power plant","3","45.0","flash steam - single","2008.0","Orkuveita Reykjavikur","Orkuveita Reykjavikur [100%]","64.0373","-21.4007","exact","Southern Region","","Northern Europe","Europe","L100000700065","G100000700103","WEPP (S&P Global Platts): 1060107, World Resources Institute: WRI1002796","WEPP (S&P Global Platts): 1197817","https://gem.wiki/Hellisheiðarvirkjun_geothermal_power_plant"
"179","operating","Iceland","Hellisheiðarvirkjun geothermal power plant","4","45.0","flash steam - single","2008.0","Orkuveita Reykjavikur","Orkuveita Reykjavikur [100%]","64.0373","-21.4007","exact","Southern Region","","Northern Europe","Europe","L100000700065","G100000700104","WEPP (S&P Global Platts): 1060107, World Resources Institute: WRI1002796","WEPP (S&P Global Platts): 1197818","https://gem.wiki/Hellisheiðarvirkjun_geothermal_power_plant"
"180","operating","Iceland","Hellisheiðarvirkjun geothermal power plant","5","45.0","flash steam - single","2011.0","Orkuveita Reykjavikur","Orkuveita Reykjavikur [100%]","64.0373","-21.4007","exact","Southern Region","","Northern Europe","Europe","L100000700065","G100000700105","WEPP (S&P Global Platts): 1060107, World Resources Institute: WRI1002796","WEPP (S&P Global Platts): 1207492","https://gem.wiki/Hellisheiðarvirkjun_geothermal_power_plant"
"181","operating","Iceland","Hellisheiðarvirkjun geothermal power plant","6","45.0","flash steam - single","2011.0","Orkuveita Reykjavikur","Orkuveita Reykjavikur [100%]","64.0373","-21.4007","exact","Southern Region","","Northern Europe","Europe","L100000700065","G100000700106","WEPP (S&P Global Platts): 1060107, World Resources Institute: WRI1002796","WEPP (S&P Global Platts): 1207493","https://gem.wiki/Hellisheiðarvirkjun_geothermal_power_plant"
"182","operating","Iceland","Hellisheiðarvirkjun geothermal power plant","Low-pressure turbine","33.0","unknown type","2007.0","Orkuveita Reykjavikur","Orkuveita Reykjavikur [100%]","64.0373","-21.4007","exact","Southern Region","","Northern Europe","Europe","L100000700065","G100000700107","WEPP (S&P Global Platts): 1060107, World Resources Institute: WRI1002796","","https://gem.wiki/Hellisheiðarvirkjun_geothermal_power_plant"
"183","construction","United States","Hell's Kitchen geothermal plant","1","55.0","flash steam - single","2025.0","","Controlled Thermal Resource [100%]","33.3126","-115.7815","approximate","","California","Northern America","Americas","L100000700064","G100000700100","WEPP (S&P Global Platts): 70224","WEPP (S&P Global Platts): 46870","https://gem.wiki/Hell's_Kitchen_geothermal_plant"
"184","pre-construction","United States","Hell's Kitchen geothermal plant","2","55.0","flash steam - triple","2024.0","","Controlled Thermal Resource [100%]","33.3126","-115.7815","approximate","","California","Northern America","Americas","L100000700064","G100000700099","WEPP (S&P Global Platts): 70224","WEPP (S&P Global Platts): 46870","https://gem.wiki/Hell's_Kitchen_geothermal_plant"
"185","pre-construction","United States","Hell's Kitchen geothermal plant","3","55.0","flash steam - triple","2025.0","","","32.8484","-115.5711","approximate","","California","Northern America","Americas","L100000700064","G100000700495","WEPP (S&P Global Platts): 70224","","https://gem.wiki/Hell's_Kitchen_geothermal_plant"
"186","pre-construction","United States","Hell's Kitchen geothermal plant","4","55.0","flash steam - triple","2026.0","","","32.8484","-115.5711","approximate","","California","Northern America","Americas","L100000700064","G100000700496","WEPP (S&P Global Platts): 70224","","https://gem.wiki/Hell's_Kitchen_geothermal_plant"
"187","pre-construction","United States","Hell's Kitchen geothermal plant","5","55.0","flash steam - triple","2026.0","","","32.8484","-115.5711","approximate","","California","Northern America","Americas","L100000700064","G100000700497","WEPP (S&P Global Platts): 70224","","https://gem.wiki/Hell's_Kitchen_geothermal_plant"
"188","pre-construction","United States","Hell's Kitchen geothermal plant","6","55.0","flash steam - triple","2027.0","","","32.8484","-115.5711","approximate","","California","Northern America","Americas","L100000700064","G100000700498","WEPP (S&P Global Platts): 70224","","https://gem.wiki/Hell's_Kitchen_geothermal_plant"
"189","construction","Indonesia","Hululais geothermal power plant","1","55.0","unknown type","2024.0","Pertamina Geothermal Energy","Pertamina Geothermal Energy [100%]","-3.2413","102.2782","exact","","Bengkulu","South-eastern Asia","Asia","L100000700066","G100000700108","WEPP (S&P Global Platts): 1108472","WEPP (S&P Global Platts): 1269940","https://gem.wiki/Hululais_geothermal_power_plant"
"190","pre-construction","Indonesia","Hululais geothermal power plant","2","55.0","unknown type","2026.0","Pertamina Geothermal Energy","Pertamina Geothermal Energy [100%]","-3.2413","102.2782","exact","","Bengkulu","South-eastern Asia","Asia","L100000700066","G100000700109","WEPP (S&P Global Platts): 1108472","WEPP (S&P Global Platts): 1269941","https://gem.wiki/Hululais_geothermal_power_plant"
"191","announced","Indonesia","Hululais geothermal power plant","Future units","230.0","unknown type","","Pertamina Geothermal Energy","","-3.2413","102.2782","exact","","Bengkulu","South-eastern Asia","Asia","L100000700066","G100000700349","WEPP (S&P Global Platts): 1108472","","https://gem.wiki/Hululais_geothermal_power_plant"
"192","cancelled","Iceland","Hverahlíð geothermal power plant","--","90.0","unknown type","","Orkuveita Reykjavikur","Orkuveita Reykjavikur [100%]","64.0077","-21.3547","approximate","Hverahlidh","Southern Region","Northern Europe","Europe","L100000700067","G100000700110","WEPP (S&P Global Platts): 1071434","WEPP (S&P Global Platts): 1207495, WEPP (S&P Global Platts): 1207494, WEPP (S&P Global Platts): 1211356","https://gem.wiki/Hverahlíð_geothermal_power_plant"
"193","shelved","United States","Imperial Valley geothermal plant","G303","70.0","unknown type","","CE Obsidian Energy LLC","","33.1594","-115.6144","exact","","California","Northern America","Americas","L100000700068","G100000700111","EIA: 57477, EIA: 57478, EIA: 57479","","https://gem.wiki/Imperial_Valley_geothermal_plant"
"194","shelved","United States","Imperial Valley geothermal plant","G3201","70.0","unknown type","","CE Obsidian Energy LLC","","33.1594","-115.6144","exact","","California","Northern America","Americas","L100000700068","G100000700112","EIA: 57477, EIA: 57478, EIA: 57479","","https://gem.wiki/Imperial_Valley_geothermal_plant"
"195","shelved","United States","Imperial Valley geothermal plant","G3202","70.0","unknown type","","CE Obsidian Energy LLC","","33.1594","-115.6144","exact","","California","Northern America","Americas","L100000700068","G100000700113","EIA: 57477, EIA: 57478, EIA: 57479","","https://gem.wiki/Imperial_Valley_geothermal_plant"
"196","operating","United States","Jersey Valley geothermal power plant","1","16.0","binary cycle","2010.0","","Ormat Technology INC [100%]","40.1808","-117.4739","exact","","Nevada","Northern America","Americas","L100000700274","G100000700499","EIA: 57376","","https://gem.wiki/Jersey_Valley_geothermal_power_plant"
"197","operating","United States","Jersey Valley geothermal power plant","2","8.0","binary cycle","2010.0","","Ormat Technology INC [100%]","40.1808","-117.4739","exact","","Nevada","Northern America","Americas","L100000700274","G100000700500","EIA: 57376","","https://gem.wiki/Jersey_Valley_geothermal_power_plant"
"198","operating","United States","John L. Featherstone geothermal plant","Hudson Ranch 1","55.0","flash steam - triple","2012.0","Hudson Ranch Power I LLC","EnergySource [100%]","33.2046","-115.5733","exact","","California","Northern America","Americas","L100000700069","G100000700115","WEPP (S&P Global Platts): 57281, World Resources Institute: USA0057475, EIA: 58211, EIA: 57475","WEPP (S&P Global Platts): 33974","https://gem.wiki/John_L._Featherstone_geothermal_plant"
"199","cancelled","United States","John L. Featherstone geothermal plant","Hudson Ranch 2","55.0","unknown type","","Hudson Ranch Power I LLC","","33.2044","-115.5567","exact","","California","Northern America","Americas","L100000700069","G100000700114","WEPP (S&P Global Platts): 57281, World Resources Institute: USA0057475, EIA: 58211, EIA: 57475","","https://gem.wiki/John_L._Featherstone_geothermal_plant"
"200","operating","Japan","Kakkonda geothermal power plant","1","50.0","flash steam - single","1978.0","Tohoku Electric Power CO INC","Tohoku Electric Power CO INC [100%]","39.8291","140.8649","exact","","","Eastern Asia","Asia","L100000700070","G100000700116","WEPP (S&P Global Platts): 1031474, World Resources Institute: WRI1020117","WEPP (S&P Global Platts): 1123372","https://gem.wiki/Kakkonda_geothermal_power_plant"
"201","operating","Japan","Kakkonda geothermal power plant","2","30.0","flash steam - single","1996.0","Tohoku Electric Power CO INC","Tohoku Electric Power CO INC [100%]","39.8291","140.8649","exact","","","Eastern Asia","Asia","L100000700070","G100000700117","WEPP (S&P Global Platts): 1031474, World Resources Institute: WRI1020117","WEPP (S&P Global Platts): 1123373","https://gem.wiki/Kakkonda_geothermal_power_plant"
"202","pre-construction","Philippines","Kalinga geothermal power plant","1","40.0","unknown type","2027.0","","Aragorn Power and Energy Corp","17.2481","121.1234","approximate","Tinglayan","Kalinga","South-eastern Asia","Asia","L100000700071","G100000700118","WEPP (S&P Global Platts): 1084659","WEPP (S&P Global Platts): 1230448","https://gem.wiki/Kalinga_geothermal_power_plant"
"203","pre-construction","Philippines","Kalinga geothermal power plant","2","40.0","unknown type","2029.0","","Aragorn Power and Energy Corp","17.2481","121.1234","approximate","Tinglayan","Kalinga","South-eastern Asia","Asia","L100000700071","G100001005190","WEPP (S&P Global Platts): 1084659","","https://gem.wiki/Kalinga_geothermal_power_plant"
"204","pre-construction","Philippines","Kalinga geothermal power plant","3","40.0","unknown type","2031.0","","Aragorn Power and Energy Corp","17.2481","121.1234","approximate","Tinglayan","Kalinga","South-eastern Asia","Asia","L100000700071","G100001005191","WEPP (S&P Global Platts): 1084659","","https://gem.wiki/Kalinga_geothermal_power_plant"
"205","operating","Indonesia","Kamojang geothermal power plant","1","30.0","unknown type","1983.0","Pertamina Geothermal Energy","Pertamina Geothermal Energy [100%]","-7.1388","107.7851","exact","Darajat","West Java","South-eastern Asia","Asia","L100000700072","G100000700119","WEPP (S&P Global Platts): 1026079, WEPP (S&P Global Platts): 1093257","WEPP (S&P Global Platts): 1123579","https://gem.wiki/Kamojang_geothermal_power_plant"
"206","operating","Indonesia","Kamojang geothermal power plant","2","55.0","unknown type","1987.0","Pertamina Geothermal Energy","Pertamina Geothermal Energy [100%]","-7.1388","107.7851","exact","Darajat","West Java","South-eastern Asia","Asia","L100000700072","G100000700120","WEPP (S&P Global Platts): 1026079, WEPP (S&P Global Platts): 1093257","WEPP (S&P Global Platts): 1123580","https://gem.wiki/Kamojang_geothermal_power_plant"
"207","operating","Indonesia","Kamojang geothermal power plant","3","55.0","unknown type","1987.0","Pertamina Geothermal Energy","Pertamina Geothermal Energy [100%]","-7.1388","107.7851","exact","Darajat","West Java","South-eastern Asia","Asia","L100000700072","G100000700121","WEPP (S&P Global Platts): 1026079, WEPP (S&P Global Platts): 1093257","WEPP (S&P Global Platts): 1123581","https://gem.wiki/Kamojang_geothermal_power_plant"
"208","operating","Indonesia","Kamojang geothermal power plant","4","60.0","unknown type","2008.0","Pertamina Geothermal Energy","Pertamina Geothermal Energy [100%]","-7.1388","107.7851","exact","Darajat","West Java","South-eastern Asia","Asia","L100000700072","G100000700122","WEPP (S&P Global Platts): 1026079, WEPP (S&P Global Platts): 1093257","WEPP (S&P Global Platts): 1123582","https://gem.wiki/Kamojang_geothermal_power_plant"
"209","operating","Indonesia","Kamojang geothermal power plant","5","35.0","dry steam","2015.0","Pertamina Geothermal Energy","Pertamina Geothermal Energy [100%]","-7.1388","107.7851","exact","Darajat","West Java","South-eastern Asia","Asia","L100000700072","G100000700123","WEPP (S&P Global Platts): 1026079, WEPP (S&P Global Platts): 1093257","WEPP (S&P Global Platts): 1245520","https://gem.wiki/Kamojang_geothermal_power_plant"
"210","operating","Indonesia","Karaha geothermal power plant","1","30.0","dry steam","2018.0","Pertamina Geothermal Energy","Pertamina Geothermal Energy [100%]","-7.1477","108.0848","exact","Tasikmalaya Regency","West Java","South-eastern Asia","Asia","L100000700073","G100000700124","WEPP (S&P Global Platts): 1025966","WEPP (S&P Global Platts): 1123953","https://gem.wiki/Karaha_geothermal_power_plant"
"211","cancelled","Türkiye","Karataş geothermal plant","--","100.0","unknown type","","","Zorlu Enerji [100%]","37.9489","28.8801","approximate","Sarayköy","Denizli","Western Asia","Asia","L100000700074","G100000700125","","","https://gem.wiki/Karataş_geothermal_plant"
"212","shelved","Armenia","Karkar geothermal power plant","--","40.0","unknown type","","Sumes GeoPower AG","Sumes GeoPower AG [100%]","39.7847","45.9419","exact","Gorayk Community","Syunik Province","Western Asia","Asia","L100000700075","G100000700126","WEPP (S&P Global Platts): 1117313","WEPP (S&P Global Platts): 1283268","https://gem.wiki/Karkar_geothermal_power_plant"
"213","pre-construction","Uganda","Katwe geothermal power plant","--","200.0","unknown type","2026.0","AAE Systems INC","AAE Systems INC [100%]","-0.0804","29.9193","approximate","Kasese","Kampala","Sub-Saharan Africa","Africa","L100000700076","G100000700127","WEPP (S&P Global Platts): 1096827","WEPP (S&P Global Platts): 1251264","https://gem.wiki/Katwe_geothermal_power_plant"
"214","operating","New Zealand","Kawerau geothermal power plant","--","100.0","flash steam - double","2008.0","Mercury NZ LTD","Mercury NZ LTD [100%]","-38.0631","176.7272","exact","","Bay of Plenty","Australia and New Zealand","Oceania","L100000700077","G100000700128","World Resources Institute: WRI1000327, WEPP (S&P Global Platts): 1064123","WEPP (S&P Global Platts): 1194754","https://gem.wiki/Kawerau_geothermal_power_plant"
"215","announced","Philippines","Kayabon geothermal power plant","1","30.0","unknown type","2026.0","Energy Development CORP (EDC)","Energy Development CORP (EDC) [100%]","12.2549","123.5327","approximate","Cayabon","Masbate","South-eastern Asia","Asia","L100000700078","G100000700129","","","https://gem.wiki/Kayabon_geothermal_power_plant"
"216","pre-construction","Indonesia","Kepahiang geothermal power plant","1","55.0","unknown type","","","PT PLN (Persero) [100%]","-3.629","102.6009","approximate","Kepahiang","Bengkulu","South-eastern Asia","Asia","L100000700204","G100000700350","","","https://gem.wiki/Kepahiang_geothermal_power_plant"
"217","pre-construction","Indonesia","Kepahiang geothermal power plant","2","55.0","unknown type","","","PT PLN (Persero) [100%]","-3.629","102.6009","approximate","Kepahiang","Bengkulu","South-eastern Asia","Asia","L100000700204","G100000700351","","","https://gem.wiki/Kepahiang_geothermal_power_plant"
"218","operating","Türkiye","Kızıldere-1 geothermal power plant","Rehabilitation","15.0","flash steam - single","2013.0","","Zorlu Enerji [100%]","37.9499","28.8354","exact","","","Western Asia","Asia","L100000700246","G100000700448","","","https://gem.wiki/Kızıldere-1_geothermal_power_plant"
"219","operating","Türkiye","Kızıldere-2 geothermal power plant","--","80.0","flash steam - triple","2013.0","Zorlu Enerji","Zorlu Enerji [100%]","37.9499","28.8354","exact","","Denizli","Western Asia","Asia","L100000700079","G100000700130","WEPP (S&P Global Platts): 1032180, World Resources Institute: WRI1018955","WEPP (S&P Global Platts): 1236107","https://gem.wiki/Kızıldere-2_geothermal_power_plant"
"220","operating","Türkiye","Kızıldere-3 geothermal power plant","1","100.0","flash steam - triple","2017.0","Zorlu Enerji","Zorlu Enerji [100%]","37.9498837515279","28.84321513864467","exact","Denizli","","Western Asia","Asia","L100000700080","G100000700132","WEPP (S&P Global Platts): 1032180","","https://gem.wiki/Kızıldere-3_geothermal_power_plant"
"221","operating","Türkiye","Kızıldere-3 geothermal power plant","2","66.0","flash steam - triple","2018.0","Zorlu Enerji","Zorlu Enerji [100%]","37.9498837515279","28.84321513864467","exact","Denizli","","Western Asia","Asia","L100000700080","G100000700131","WEPP (S&P Global Platts): 1032180","WEPP (S&P Global Platts): 1255104","https://gem.wiki/Kızıldere-3_geothermal_power_plant"
"222","pre-construction","Türkiye","Kızıldere-4 geothermal power plant","--","60.0","unknown type","2025.0","","Zorlu Enerji [100%]","38.6126","27.4334","approximate","","","Western Asia","Asia","L100000700081","G100000700133","","","https://gem.wiki/Kızıldere-4_geothermal_power_plant"
"223","operating","Iceland","Krafla geothermal power plant","1","30.0","flash steam - double","1977.0","Landsvirkjun","Landsvirkjun [100%]","65.7035","-16.7735","exact","Northeastern Region","","Northern Europe","Europe","L100000700082","G100000700134","WEPP (S&P Global Platts): 1021794, World Resources Institute: WRI1002800","WEPP (S&P Global Platts): 1126385","https://gem.wiki/Krafla_geothermal_power_plant"
